,predictions,file_names
0,happy,27-90-03-OAF_long_happy.wav
1,sad,03-01-04-01-01-01-18.wav
2,sad,03-01-04-01-01-01-15.wav
3,sad,29-02-04-OAF_shall_sad.wav
4,sad,29-02-04-OAF_book_sad.wav
5,angry,28-02-05-OAF_walk_angry.wav
6,angry,28-02-05-OAF_kill_angry.wav
7,sad,29-02-04-OAF_chief_sad.wav
8,happy,27-66-03-OAF-jail-happy.wav
9,happy,27-37-03-OAF-fail-happy.wav
10,sad,03-01-04-01-01-02-16.wav
11,sad,03-01-04-02-02-02-19.wav
12,angry,03-01-05-02-02-01-17.wav
13,neutral,30-03-01-OAF_ring_neutral.wav
14,sad,29-02-04-OAF_doll_sad.wav
15,happy,03-01-03-01-01-02-13.wav
16,neutral,30-03-01-OA_bite_neutral.wav
17,neutral,30-03-01-OAF_lease_neutral.wav
18,angry,28-02-05-OAF_name_angry.wav
19,sad,29-02-04-OAF_rush_sad.wav
20,happy,27-47-03-OAF-germ-happy.wav
21,angry,28-02-05-OAF_raise_angry.wav
22,neutral,03-01-01-01-01-02-17.wav
23,happy,03-01-03-02-02-01-21.wav
24,happy,03-01-05-02-01-01-10.wav
25,sad,29-02-04-OAF_time_sad.wav
26,happy,03-01-03-01-01-02-04.wav
27,sad,26-01-04-01-thought-sad.wav
28,angry,03-01-05-02-02-02-20.wav
29,angry,28-02-05-OAF_chain_angry.wav
30,neutral,30-03-01-OAF_rot_neutral.wav
31,neutral,30-03-01-OAF_puff_neutral.wav
32,neutral,30-03-01-OAF_third_neutral.wav
33,neutral,30-03-01-OAF_yes_neutral.wav
34,neutral,30-03-01-OAF_haze_neutral.wav
35,happy,03-01-03-02-02-01-09.wav
36,happy,27-10-03-OAF-book-happy.wav
37,happy,03-01-03-02-02-01-17.wav
38,neutral,30-03-01-OAF_hall_neutral.wav
39,neutral,30-03-01-OAF_hate_neutral.wav
40,angry,03-01-05-02-01-01-16.wav
41,angry,03-01-05-01-02-02-07.wav
42,happy,03-01-05-02-01-01-08.wav
43,happy,27-70-03-OAF-jug-happy.wav
44,happy,03-01-03-02-01-02-08.wav
45,angry,28-02-05-OAF_goose_angry.wav
46,sad,03-01-04-01-02-01-17.wav
47,sad,29-02-04-OAF_base_sad.wav
48,sad,29-02-04-OAF_food_sad.wav
49,angry,28-02-05-OAF_shall_angry.wav
50,sad,29-02-04-OAF_mood_sad.wav
51,angry,28-02-05-OAF_king_angry.wav
52,sad,03-01-04-01-01-01-09.wav
53,happy,03-01-04-02-01-02-03.wav
54,neutral,30-03-01-OAF_tire_neutral.wav
55,angry,28-02-05-OAF_lid_angry.wav
56,sad,29-02-04-OAF_such_sad.wav
57,happy,27-90-03-OAF_mill_happy.wav
58,neutral,30-03-01-OAF_kick_neutral.wav
59,sad,03-01-04-01-02-01-22.wav
60,happy,27-64-03-OAF-hurl-happy.wav
61,angry,03-01-05-01-01-01-12.wav
62,sad,29-02-04-OAF_lore_sad.wav
63,happy,03-01-03-02-02-01-19.wav
64,sad,03-01-04-02-01-02-06.wav
65,angry,28-02-05-OAF_tough_angry.wav
66,angry,03-01-05-01-01-02-07.wav
67,sad,29-02-04-OAF_nice_sad.wav
68,happy,03-01-05-01-02-02-18.wav
69,happy,27-90-03-OAF_perch_happy.wav
70,angry,28-02-05-OAF_reach_angry.wav
71,happy,03-01-03-02-01-02-02.wav
72,sad,29-02-04-OAF_lease_sad.wav
73,angry,28-02-05-OAF_gap_angry.wav
74,neutral,30-03-01-OAF_good_neutral.wav
75,sad,29-02-04-OAF_cool_sad.wav
76,neutral,03-01-01-01-02-01-13.wav
77,happy,27-63-03-OAF-home-happy.wav
78,sad,03-01-04-02-01-02-20.wav
79,happy,03-01-03-02-02-01-20.wav
80,angry,28-02-05-OAF_half_angry.wav
81,neutral,03-01-01-01-01-01-04.wav
82,angry,03-01-05-02-01-02-23.wav
83,angry,28-02-05-OAF_pad_angry.wav
84,sad,29-02-04-OAF_yearn_sad.wav
85,happy,27-08-03-OAF-boat-happy.wav
86,happy,27-81-03-OAF_laud_happy.wav
87,happy,03-01-03-02-01-02-22.wav
88,angry,28-02-05-OAF_rose_angry.wav
89,angry,28-02-05-OAF_red_angry.wav
90,sad,26-01-04-01-team-sad.wav
91,sad,29-02-04-OAF_calm_sad.wav
92,angry,28-02-05-OAF_dead_angry.wav
93,sad,03-01-04-02-01-01-08.wav
94,happy,03-01-03-01-02-01-24.wav
95,angry,03-01-05-02-01-02-12.wav
96,angry,28-02-05-OAF_dime_angry.wav
97,neutral,30-03-01-OAF_keg_neutral.wav
98,happy,27-90-03-OAF_tough_happy.wav
99,angry,03-01-05-01-01-02-08.wav
100,sad,29-02-04-OAF_have_sad.wav
101,neutral,30-03-01-OAF_chain_neutral.wav
102,neutral,30-03-01-OAF_south_neutral.wav
103,angry,03-01-05-02-02-02-14.wav
104,sad,03-01-01-01-02-01-09.wav
105,happy,03-01-01-01-01-01-07.wav
106,neutral,30-03-01-OAF_sour_neutral.wav
107,happy,27-90-03-OAF_take_happy.wav
108,happy,27-90-03-OAF_read_happy.wav
109,happy,27-90-03-OAF_mode_happy.wav
110,angry,28-02-05-OAF_match_angry.wav
111,angry,03-01-05-02-01-01-13.wav
112,neutral,30-03-01-OAF_rag_neutral.wav
113,neutral,30-03-01-OAF_half_neutral.wav
114,angry,28-02-05-OAF_white_angry.wav
115,angry,28-02-05-OAF_chat_angry.wav
116,neutral,30-03-01-OAF_pike_neutral.wav
